wavelength_nm,absorption_coefficient_m_inv,absorption_uncertainty_m_inv
1569.961328,50118.723363,2505.936168
1559.938218,78195.510301,3909.775515
1549.802480,128555.573191,6427.778660
1539.797607,205890.526241,10294.526312
1529.453929,309677.099694,15483.854985
1519.709228,423909.087958,21195.454398
1509.632796,530884.444231,26544.222212
1499.689107,611453.783124,30572.689156
