wavelength_nm,absorption_coefficient_m_inv,absorption_uncertainty_m_inv
1559.938218,78195.510301,3909.775515
1539.797607,205890.526241,10294.526312
1519.709228,423909.087958,21195.454398
1499.689107,611453.783124,30572.689156
